Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Бебешко;Роксолана;Оринаівна;Жіноча;1989-03-20;Музикант;хутір Балаклія;сквер Зелений, буд. 72, Чортків, 91235;027 694-97-67;iukhym93@example.com
Даниленко;Прохір;Михайлоович;Чоловіча;1967-12-06;Композитор;село Гайсин;узвіз Лінія 48-ма, буд. 4 кв. 4, Мена , 43701;+380 (63) 748-36-27;hisaievych@example.net
Гречко;Охрім;Трохимович;Чоловіча;1957-10-02;Мікробіолог;село Рава-Руська;провулок Псковський, буд. 751 кв. 3, Суми, 42022;+380 47 622-41-97;nadiiaieresko@example.net
Устенко;Аніта;Галинаівна;Жіноча;1960-08-26;Електротехнік;селище Радомишль;площа Восьмого Березня Лінія 1-ша, буд. 156 кв. 6, Рівне, 98801;+380 11 345-72-21;ievdokymenkoartem@example.org
Малик;Богуслава;Оксанаівна;Жіноча;1991-08-27;Кінорежисер;місто Кам'янка-Бузька;парк 2-й Академічний тупик, буд. 652 кв. 556, Коростень, 72658;+380 54 064-42-76;valentyn56@example.com
Шиян;Олена;Михайлинаівна;Жіноча;1969-10-25;Промисловець;село Лозова ;проспект 11-та Лінія Марії Демченко, буд. 5 кв. 509, Коростень, 14562;096 421-54-35;tovstolisiakiv@example.org
Кабалюк;Людмила;Василинаівна;Жіноча;1987-12-22;Кіноактор;хутір Білозерське;парк Круговий, буд. 36 кв. 5, Карлівка, 07591;+380 54 795-84-15;andriichukoryna@example.net
Забарний;Станіслав;Веніяминович;Чоловіча;1993-05-04;Ювелір;селище Алмазна;проспект Василя Кандинського 2-й, буд. 92 кв. 9, Охтирка, 65668;+380 00 864 63 90;gerusstefan@example.org
Жученко;Володимира;Альбінаівна;Жіноча;2000-04-19;Ґрунтознавець;селище Яворів;узвіз Марата 2-й, буд. 315 кв. 715, Жовква, 16515;077 631 73 47;cartiushenko@example.org
Семенченко;Петро;Гаврилоович;Чоловіча;1947-06-20;Хореограф;хутір Кремінна;провулок Парковий, буд. 3, Василівка , 38051;+380 46 613-84-48;biurchuk@example.net
Лесик;Альберт;Максимович;Чоловіча;1968-02-15;Сценарист;місто Бердянськ;площа Левадна, буд. 665 кв. 5, Новомосковськ, 88126;+380 (82) 474-86-20;lukian92@example.net
Гук;Едуард;Орхипович;Чоловіча;2006-09-29;Гірничий інженер;село Христинівка;парк Лесі Українки, буд. 372, Переяслав, 60164;+380 97 423 15 70;antonstets@example.org
Артим;Владислав;Микитаович;Чоловіча;1996-01-10;Реабілітолог;місто Часів Яр;провулок Тираспольська, буд. 2, Липовець, 03021;+380 52 618-13-56;avdieienkoroman@example.com
Фурс;Борислав;Дмитроович;Чоловіча;1991-03-22;Живописець;хутір Молодогвардійськ;вулиця Степана Разіна, буд. 6 кв. 216, Новий Калинів, 93142;+380 75 744-99-49;pavlo05@example.net
Ірванець;Богдан;Миколайович;Чоловіча;1982-08-23;Бізнесмен;село Красногорівка;узвіз Чорноморський 12-й, буд. 873 кв. 0, Коломия, 55677;+380 49 875 20 05;piddubnyiavhustyn@example.org
Чалий;Мирон;Августинович;Чоловіча;1981-11-11;Парфюмер;село Бунге ;парк Лазурний 6-й, буд. 550 кв. 485, Сновськ, 01457;018 408 10 54;zonufriienko@example.com
Бабич;Єфрем;Леопольдович;Чоловіча;1976-10-04;Філолог;хутір Львів;проспект Альпіністів, буд. 1, Новоселиця, 73486;+380 31 504 65 27;pzhurba@example.com
Ященко;Любов;Михайлинаівна;Жіноча;1952-02-21;Юрист;село Дергачі;парк Лузанівська, буд. 6, Миронівка, 13773;+380 83 669-80-58;roksolanakybkalo@example.com
Чекалюк;Розалія;Ганнаівна;Жіноча;1979-04-15;Професор;селище Рубіжне;провулок Володимира Вінниченка, буд. 93, Бориспіль, 01058;+380 (80) 230-11-28;zakusyloklavdiia@example.org
Зінченко;Тереза;Михайлинаівна;Жіноча;1947-07-26;Підприємець;селище Алчевськ;сквер Станційна 1-ша, буд. 00 кв. 74, Українськ, 33359;+380 (10) 616-51-73;gkonoplenko@example.com
Матяш;Валерій;Валентинович;Чоловіча;1974-09-18;Редактор;хутір Краматорськ;проспект Балтська дорога, буд. 2, Рубіжне, 46893;+380 02 036 45 90;volodymyraieremenko@example.com
Ірванець;Соломія;Ярославаівна;Жіноча;1995-12-30;Фольклорист;село Перечин;вулиця Новгородський, буд. 4 кв. 404, Зіньків, 33379;+380 37 943-67-86;illiaverhun@example.com
Ґоляш;Олекса;Давидович;Чоловіча;1986-05-04;Прокурор;село Березань ;набережна Хаджибейська дорога, буд. 0, Южне, 81893;+380 31 062 04 24;onysymbabko@example.org
Скорик;Нестор;Макарович;Чоловіча;1963-03-08;Математик;хутір Володимир-Волинський;провулок Десята, буд. 765 кв. 808, Кадіївка, 18691;+380 (76) 692-18-93;fatamaniuk@example.org
Теличенко;Степан;Антонович;Чоловіча;1943-06-12;Няня;місто Каховка;узвіз Амбулаторна, буд. 073 кв. 417, Міусинськ, 24623;055 846-01-44;stanislav72@example.org
Дерегус;Василь;Омелянович;Чоловіча;1977-12-20;Режисер;місто Рожище;провулок Кавунова, буд. 2, Черкаси, 90383;008 407-89-36;stefan67@example.com
Верменич;Одарка;Іринаівна;Жіноча;1991-11-28;Клавішник;село Куп'янськ;узвіз Івана Франка, буд. 67, Березань , 35165;+380 99 857-30-42;stetsmyron@example.com
Скиба;Стефан;Романович;Чоловіча;1992-07-13;Дизайнер;селище Валки ;площа Рощева, буд. 381, Жашків, 64993;045 244-08-47;rozaliiatsarenko@example.org
Тимченко;Олекса;Мартинович;Чоловіча;1958-12-01;Няня;хутір Решетилівка;вулиця Грецька, буд. 095 кв. 930, Приморськ (Україна), 76496;+380 (36) 463-32-65;teslenkopanas@example.com
Фоменко;Трохим;Спасович;Чоловіча;1984-07-09;Фотограф;селище Амвросіївка;площа Геранієва, буд. 5 кв. 737, Винники, 98627;+380 94 657-99-19;abramenkoavrelii@example.com
Ященко;Марʼяна;Василинаівна;Жіноча;1975-06-09;Парфюмер;хутір Чернівці;вулиця Отрадна, буд. 56, Ірміно, 43641;083 532 72 40;uzatovkaniuk@example.com
Габелко;Стефан;Болеславович;Чоловіча;1970-10-17;Дипломат;хутір Покров;набережна Композитора Ніщинського, буд. 321, Яворів, 10460;+380 (83) 924-62-31;lukianturkalo@example.net
Гунько;Аарон;Дмитроович;Чоловіча;1962-08-23;Астрофізик;селище Кременчук;площа Вчительської, 2-й, буд. 54 кв. 41, Ходорів, 61807;008 505-37-98;hryhoriishvachko@example.net
Рябець;Наталія;Клавдіяівна;Жіноча;1952-06-19;Соціолог;хутір Тростянець;набережна Китобійний 1-й, буд. 46, Зугрес, 90647;+380 47 466 82 07;vysochanpriska@example.net
Данчук;Вʼячеслав;Амвросійович;Чоловіча;1973-04-10;Машиніст;село Красноперекопськ;площа Маршала Бабаджаняна, буд. 13 кв. 149, Любомль, 86636;+380 28 979-04-45;daverchenko@example.com
Бабенко;Трохим;Леонтійович;Чоловіча;1983-02-21;Електрик;село Мукачево;сквер Маловського, буд. 36, Красилів, 42737;066 330 72 76;atamanchukiosyp@example.org
Примаченко;Трохим;Миколайович;Чоловіча;1998-05-06;Агроном;місто Нова Каховка;узвіз Північна, буд. 5, Радивилів, 52202;+380 85 941 42 82;gdatsenko@example.com
Єрошенко;Петро;Петроович;Чоловіча;1955-10-19;Єгер;хутір Макіївка;провулок Тимірязєва, буд. 6 кв. 720, Сторожинець, 90229;+380 49 058-91-18;vakulenkomarusia@example.com
Ящук;Демид;Леонтійович;Чоловіча;1990-02-05;Швачка;хутір Дубляни;набережна Михайлівська, буд. 3, Підгородне, 71853;+380 79 042-08-26;karpenkoalevtyn@example.com
Ярема;Руслан;Едуардович;Чоловіча;1983-07-10;Стропальник;хутір Ізяслав;парк Овідіопольська дорога, буд. 233, Дніпрорудне, 57313;748-13-86;bandurasofiia@example.net
Орлик;Мирон;Єфремович;Чоловіча;1957-06-28;Геолог;село Миргород;сквер Андреєвського, буд. 9, Калинівка , 65094;+380 77 877-16-17;halyna77@example.net
Самойленко;Алла;Богуславаівна;Жіноча;2004-05-24;Льотчик;місто Нетішин;шосе Слобідський узвіз, буд. 16 кв. 922, Костопіль, 60334;+380 (13) 805-38-89;artemzakharenko@example.com
Саченко;Мирослав;Владиславович;Чоловіча;1982-07-23;Ветеринар;село Дніпрорудне;парк Курганська, буд. 16, Долинська, 31291;316-88-57;lesykustym@example.org
Терещенко;Єлисей;Микитаович;Чоловіча;2002-07-01;Редактор;селище Українськ;сквер Віри Фігнер, буд. 900, Бахчисарай, 24434;+380 (75) 575-17-73;ipryimak@example.com
Єфименко;Захар;Зиновійович;Чоловіча;1948-12-16;М'ясник;місто Свалява;площа 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 08 кв. 3, Першотравенськ, 33739;527 89 71;boryslavtsisyk@example.com
Луценко;Алла;Єлисаветаівна;Жіноча;1978-01-07;Бухгалтер;хутір Черкаси;вулиця Лінія 43-тя, буд. 9 кв. 92, Кривий Ріг, 14139;786-07-49;anitabezditko@example.com
Супруненко;Людмила;Едитаівна;Жіноча;1988-02-09;Археолог;хутір Подільськ;парк Радіальний, буд. 2 кв. 86, Новодністровськ, 24035;+380 58 543 73 36;valenkovalerii@example.net
Зінчук;Симон;Спасович;Чоловіча;1991-04-05;Детектив;селище Ананьїв;провулок Яхненка Семена, буд. 945 кв. 6, Корсунь-Шевченківський, 43178;022-06-71;kabaliukpriska@example.org
